func_id,npc,en_offset_key,en_segment,en_text,zh_offset_key,zh_segment,zh_text,confidence
0x009A,Erethian,81,0,"""I'll speak to thee no more, Avatar!"" He ignores you.",88,0,「我不會再跟你說話了，聖者！」他無視了你。,medium
0x009A,Erethian,b8_113,0,"At your approach, the old man straightens and looking directly at you he says, ""Well met, <PLAYER_NAME>. I am called Erethian. Although thou dost not know me, I know thee well.",c9_11b,0,當你靠近時，老人挺直身子，直視著你說：「很高興見到你，<PLAYER_NAME>。我名叫 Erethian 。雖然你不認識我，但我卻對你非常了解。」,high
0x009A,Erethian,15d,0,"I have seen thee destroy Mondain's power and so defeat that misguided mage, I have seen thee vanquish the enchantress Minax, I have also seen, in a very unique way, how thou brought low the hellspawn Exodus.""",16e,0,「我曾見證你摧毀 Mondain 的力量，從而擊敗那誤入歧途的法師；我見證你征服了女巫 Minax ；我也曾以一種非常獨特的方式，看著你如何擊倒地獄魔物 Exodus 。」,high
0x009A,Erethian,22e,0,He falls silent here and you notice that the old man's eyes are milky white.,241,0,他在這裡沉默下來，你注意到這老人的雙眼呈現乳白色。,high
0x009A,Erethian,29d_2b5,0,"""Greetings once again, <PLAYER_NAME>. How may I assist thee?"" The blind old man looks unerringly in your direction.",2b7_2d0,0,「再次向你致意，<PLAYER_NAME>。我有什麼能幫你的嗎？」盲眼老法師準確無誤地看向你的方向。,medium
0x009A,Erethian,305,0,"""I'll never get any work done like this! What do you wish of me?"" Erethian seems a little pevish at this point.",328,0,「這樣下去我什麼事都做不成！你想從我這裡得到什麼？」 Erethian 此刻顯得有些暴躁。,medium
0x009A,Erethian,419,0,"""Could this possibly be true?"" Erethian's blind eyes light up with unabashed glee. ""What an opportunity I have here.""",407,0,「這可能是真的嗎？」 Erethian 盲目的雙眼閃爍著毫不掩飾的喜悅。「這對我來說是多麼好的一個機會啊。」,medium
0x009A,Erethian,48f,0,"He once again notices your presence. ""Now, do not let any strange ideas of destruction enter thy mind, Avatar. I shan't let thee deprive me of this chance to experience a true wonder of the world. Run along now... Is there not a right to be wronged, somewhere else?",496,0,他再次注意到你的存在。「現在，不要讓任何破壞的怪念頭進入你的腦袋，聖者。我絕不會讓你剝奪我體驗這世界真正奇蹟的機會。現在走開吧……難道在其他地方沒有你需要去伸張的正義嗎？」,high
0x009A,Erethian,5b7,0,"The elderly mage frowns. ""I sense no great evil, but then I never did quite get the knack of cosmic awareness. Nevertheless, don't worry thyself over much. These things tend to work themselves out."" You feel as if you've just been patted on the head and asked to go play elsewhere.",599,0,年邁的法師皺起眉頭。「我感覺不到任何巨大的邪惡，但話說回來，我從未完全掌握感知宇宙的訣竅。不過，你別太擔心了。這些事情往往會自己解決的。」你感覺就像是被人摸了摸頭，然後叫去別的地方玩一樣。,high
0x009A,Erethian,6f1,0,"""Ah, yes. I once had a scroll that told of a talisman by that name. If only I could remember where I put it. Dost thou by chance have the parchment entitled Scroll of Infinity with thee?",6b4,0,「啊，是的。我曾經有一卷卷軸，上面記載著一個同名護符的事。要是我能想起把它放哪裡就好了。你剛好有帶著那張名為『無限卷軸』的羊皮紙嗎？」,medium
