en_func_id,en_offset_key,en_segment,en_text,zh_func_id,zh_offset_key,zh_segment
0x009A,81,0,"""I'll speak to thee no more, Avatar!"" He ignores you.",0x009A,88,0
0x009A,b8_113,0,"At your approach, the old man straightens and looking directly at you he says, ""Well met, <PLAYER_NAME>. I am called Erethian. Although thou dost not know me, I know thee well.",0x009A,c9_11b,0
0x009A,15d,0,"I have seen thee destroy Mondain's power and so defeat that misguided mage, I have seen thee vanquish the enchantress Minax, I have also seen, in a very unique way, how thou brought low the hellspawn Exodus.""",0x009A,16e,0
0x009A,22e,0,He falls silent here and you notice that the old man's eyes are milky white.,0x009A,241,0
0x009A,29d_2b5,0,"""Greetings once again, <PLAYER_NAME>. How may I assist thee?"" The blind old man looks unerringly in your direction.",0x009A,2b7_2d0,0
0x009A,305,0,"""I'll never get any work done like this! What do you wish of me?"" Erethian seems a little pevish at this point.",0x009A,328,0
0x009A,419,0,"""Could this possibly be true?"" Erethian's blind eyes light up with unabashed glee. ""What an opportunity I have here.""",0x009A,407,0
0x009A,48f,0,"He once again notices your presence. ""Now, do not let any strange ideas of destruction enter thy mind, Avatar. I shan't let thee deprive me of this chance to experience a true wonder of the world. Run along now... Is there not a right to be wronged, somewhere else?",0x009A,496,0
0x009A,5b7,0,"The elderly mage frowns. ""I sense no great evil, but then I never did quite get the knack of cosmic awareness. Nevertheless, don't worry thyself over much. These things tend to work themselves out."" You feel as if you've just been patted on the head and asked to go play elsewhere.",0x009A,599,0
0x009A,6f1,0,"""Ah, yes. I once had a scroll that told of a talisman by that name. If only I could remember where I put it. Dost thou by chance have the parchment entitled Scroll of Infinity with thee?",0x009A,6b4,0
0x009A,7ac,0,"""If thou dost not have the scroll, I cannot help thee in this matter.""",0x009A,77e,0
0x009A,7f3,0,"""Here we are. Now then, it appears to be written in a strange format. One might even say a code of sorts... I have it! Apparently, the Talisman currently resides in the Great Void. A plane somewhat removed from ours. If thou wishest to gain access to this void, thou shalt need to craft two lenses: one concave, the other convex. Light focused through the properly enchanted lenses will open a conduit between our realm and the void. I believe this treatise speaks of three Talismans of Principle that send out a call to the Infinity Talisman and bring it here. Once here, it would seem that its sole purpose is to coerce a powerful force into the void."" A thought hits the mage like lightning strikes a tree. ""Oh no, Avatar... Thou shan't gain any more aid from me. I may be blind, but I see through thy sham. I'll not help thee send the Core into the void."" Erethian falls silent, and it would appear that he'll speak no more.",0x009A,7c1,0
0x009A,b94,0,"Arcadion's voice whispers to you like ripple in still pond, ""Fear not, my master. I have some knowledge of these matters.""",0x009A,b92,0
0x009A,c10,0,"""Very well. I shall need the scroll to give thee further information.""",0x009A,c12,0
0x009A,c57,0,"""Dost thou have the Scroll of Infinity amongst thy possessions?""",0x009A,c58,0
0x009A,c98,0,"""I needs must touch the scroll to glean its meaning. Else I'll not be able to help thee in this matter.""",0x009A,c89,0
0x009A,d01,0,"""Here we are. Now then, it appears to be written in a strange format. One might even say a code of sorts... I have it! Apparently, the Talisman currently resides in the Great Void. A plane somewhat removed from ours. If thou wishest to gain access to this void, thou shalt need to craft two lenses: one concave, the other convex. Light focused through the properly enchanted lenses will open a conduit between our realm and the void. I believe this treatise speaks of three Talismans of Principle that send out a call to the Infinity Talisman and bring it here. Once here, it would seem that its sole purpose is to coerce a powerful force into the void."" A thought hits the mage like lightning strikes a tree. ""Oh no, Avatar... Thou shan't gain any more aid from me. I may be blind, but I see through thy sham. I'll not help thee send the Core into the void."" Erethian falls silent, and it would appear that he'll speak no more.",0x009A,cf3,0
0x009A,10a2,0,"Arcadion's voice whispers to you like ripple in still pond, ""Fear not, my master. I have some knowledge of these matters.""",0x009A,d4e,0
0x009A,111e,0,"""If thou bringest the scroll to me I can aid the in finding the meaning of the archaic text.""",0x009A,e6e,0
0x009A,11a3,0,"""I once attempted to create a sword of great power."" Erethian frowns in concentration then says, ""if thou wishest to continue my work, thou shalt have need of some few pieces of forging equipment... And a place to put them... I know just the spot. Come with me and I'll see what I can do to help thee.""",0x009A,f81,0
0x009A,12df,0,"Erethian nods his head when you tell him of your dilemma with the black sword. ""Yes, I can see how the blade would be too clumsy to swing in combat. However, if thou were to bind a magical source of power into the hilt of the blade, thou mightest be able to counteract the unwieldy nature of the sword.""",0x009A,109f,0
0x009A,140f,0,"The little gem sparks up at this turn of the conversation. ""I believe that in my current form, I could serve perfectly well as the blade's stabilizing force. In truth, this would allow me to give thee access to some of my more dramatic powers."" The daemon sounds excited at this prospect, perhaps a little too excited.",0x009A,114d,0
0x009A,154e,0,"Erethian's voice is quiet as he says, ""Consider well before thou bindest Arcadion into the sword. For it is true that he will be able to solve the sword's problem of balance, but will he be able to solve his own problems as well?""",0x009A,1246,0
0x009A,163e,0,"You wonder if perhaps Arcadion might be able to shed some light on this issue, and as if reading your thoughts, Erethian says, ""Beware the daemon. His goals are not those of thine or mine. If he offers to help thee, it is to help himself. Of that thou canst be sure.""",0x009A,133e_137e,0
0x009A,176a,0,"""This is thy choice to make. Apparently thou hast need to make this sword function, but if the daemon is thy only recourse, I pity thee. For as surely as Arcadion will be bound within the sword, thou wilt be bound to possess it. I can tell thee no more.""",0x009A,13b3,0
0x009A,1877_18c8,0,"The mage gives you a half smile, ""'Twould seem that thy memory is failing thee, <PLAYER_NAME>. As I have said, my name is Erethian.""",0x009A,143e,0
0x009A,18f9,0,"""I am a follower of the principle of Truth. But unlike those of the Lyceaum, I would prefer to seek out the knowledge instead of waiting for it to come to me.",0x009A,14ba,0
0x009A,1998,0,"It is this curiosity which has brought me to this island from which Exodus, the spawn of Mondain and Minax, sought to rule the world.",0x009A,1527,0
0x009A,1a1e,0,"The books and scrolls here have taught me much of Britannia's	history and other... interesting subjects.""",0x009A,15b1,0
0x009A,1a88,0,His clouded eyes sparkle with intelligence. But you can't help wondering how books and scrolls are of any use to a man afflicted with blindness.,0x009A,16ae,0
0x009A,1b4e,0,"""If thou art interested, feel free to inspect them. This is no library."" As if regretting his gracious gesture, he adds, ""However, I trust that thou wilt take utmost care with the older ones."" He stops, on the verge of saying more.",0x009A,16f8,0
0x009A,1c49,0,"""Thou art a tiresome child. Leave me be!"" He ignores your presence.",0x009A,1795,0
0x009A,1c96,0,"Erethian scowls, ""Now there was a mighty wizard. A bit twisted but then who knows what happens to the human mind when 'tis subjected to the powers he wielded.",0x009A,1889,0
0x009A,1d35,0,"'Tis even said his skull alone had the power to destroy enemies... he must have locked a magical matrix upon it, I'll have to research that."" He nods his head, seemingly making a mental note, then continues with a wistful look on his aged features,",0x009A,1907,0
0x009A,1e2e,0,"""I	would have loved to study that fascinating Gem of Immortality, but alas, I was born in too late an era.""",0x009A,19e6,0
0x009A,1ec1,0,"A sad sweet smile comes to the wizard's face, ""She was quite a comely lass at one time, with a mind forever searching."" His expression darkens, ""But then Mondain forced all of the good sense from her.",0x009A,1a92,0
0x009A,1f8a,0,"She became a power unto herself, in time. I do not think she quite rivaled her former mentor, Mondain, but she was a force to be reckoned with, nevertheless.",0x009A,1b43,0
0x009A,2028,0,"And that thou didst, with the Quicksword, Enilno. That	act will most likely have tales sung about it for the next eon."" Under his breath he adds, ""Even if Iolo's the only one who sings it.""",0x009A,1bf1,0
0x009A,20e6,0,"With a look of indignation Iolo says, ""Pardon me, sir. But I'll have thee know that ballads of the Avatar still grace all of the finest drinking establishments of Britannia.""",0x009A,1c46,0
0x009A,2195,0,"""And what a dubious distinction that is."" The corners of the mage's mouth come up in a delicate smile.",0x009A,1ca7,0
0x009A,21fc,0,An angry retort dies on Iolo's lips as the elderly mage lifts his hands in a gesture of peace.,0x009A,1d1d,0
0x009A,225b,0,"""Please, forgive the offense I have given. Thou shouldst know that I have seen, almost first hand, the Avatar's bravery in the face of adversity.",0x009A,1d83,0
0x009A,22ed,0,I have nothing but the highest regard for the Destroyer of the Age of Darkness and Harbinger of the Age of Enlightenment.,0x009A,1e5c,0
0x009A,237b,0,"""That being has become a passion of mine, lately."" He almost glows with excitement. ""Indeed, 'tis what brought me here. While I	was at the Lyceaum, I happened upon a passage in a manuscript that described an Island of Fire.",0x009A,1f15,0
0x009A,245b,0,"Upon further research, I found that the entity known as Exodus was not truly destroyed. The interface between its two parts and the world was merely severed.""",0x009A,2019,0
0x009A,251f,0,"""One part, his psyche we shall call it, was taken by the gargoyles who live below us in a realm on the other side of the world. A truly fascinating culture they have, but I digress..."" You begin to wonder just how long this old man has	been out of circulation.",0x009A,212a,0
0x009A,2624,0,"He continues, ""The other, I have here. I call it the Dark Core, because without the psyche, it is mostly lifeless."" His face appears to youthen, and you feel as if you're speaking to a child describing his new toy... or perhaps, pet.",0x009A,21a8,0
0x009A,270e,0,"""I believe 'twas the removal of the psyche from the Core that caused this island to sink beneath the waves.""",0x009A,220b,0
0x009A,27aa,0,"His expression is unreadable, ""The machine that thou destroyed was Exodus' means of communication with and control of the world.",0x009A,225c,0
0x009A,282b,0,"When it was destroyed, his psyche could no longer retain its hold on the Dark Core.",0x009A,22cb,0
